TimeStamp,DateTime,Open,High,Low,Close,Side,Volume,BuyVol,SellVol,Delta,Trade,BuyTrades,SellTrades,LSRatio,LongRatio,ShortRatio,OIOpen,OIHigh,OILow,OIClose,OIChange,LongLiquidation,ShortLiquidation,FROpen,FRHigh,FRLow,FRClose
1697461200,2023-10-16 17:00:00,27887.483333333334,30313.0,27830.9,29364.308333333334,Buy,1135364352.1404,646870182.9241,488494169.2162999,158376013.70780015,186011,104162,81849,1.6850920424130122,0.60615,0.39385,507445620.5,542124700.0,473170696.0,508153293.5,707673.0,10535,0,-0.0001275,0.01,-0.010255,-0.0001275
1697463000,2023-10-16 17:30:00,29371.7,30832.0,26189.0,27993.925,Sell,2334222499.3176003,1112665200.6169,1221557298.7007003,-108892098.08380032,433577,206344,227233,1.6861920424130121,0.6062500000000001,0.39375,508160343.5,543398100.0,474119513.0,508981102.5,820759.0,26463,0,-0.0001275,0.01,-0.010255,-0.0001275
1697464800,2023-10-16 18:00:00,27996.100000000002,28244.0,27865.2,28208.933333333334,Buy,344168549.09819996,184928649.4346,159239899.66359997,25688749.771000028,61165,31668,29497,1.6924949393128985,0.6067,0.3933,508979752.5,544746500.0,474202607.0,509474553.5,494801.0,504,0,-0.0001275,0.01,-0.010255,-0.0001275
1697466600,2023-10-16 18:30:00,28211.358333333334,28460.0,28056.8,28194.88333333333,Sell,320174768.9097,142226685.7349,177948083.17479998,-35721397.43989998,51339,24029,27310,1.6842449393128986,0.60595,0.39405,509472253.5,544933100.0,472588327.0,508638629.5,-833624.0,0,1303,-0.0001275,0.01,-0.010255,-0.0001275
1697468400,2023-10-16 19:00:00,28199.99166666667,28237.5,28026.8,28112.658333333336,Sell,170956507.48,98247932.1568,72708575.32319999,25539356.833600014,32796,16054,16742,1.6771449393128985,0.6053000000000001,0.3947,508683029.5,544818700.0,471689320.0,507978921.5,-704108.0,200,0,-0.0001275,0.01,-0.010255,-0.0001275
1697470200,2023-10-16 19:30:00,28110.041666666668,28163.0,28027.0,28063.841666666664,Sell,100989730.9148,43507494.6271,57482236.287700005,-13974741.660600007,21874,10174,11700,1.678618316526034,0.6055,0.3945,507968971.5,544258700.0,472076543.0,509023373.5,1054402.0,51,0,-0.0001275,0.01,-0.010255,-0.0001275
1697472000,2023-10-16 20:00:00,28068.825,28197.5,28050.8,28107.833333333332,Buy,81662872.9707,41582037.0531,40080835.9176,1501201.135499999,19479,10605,8874,1.6659219103434095,0.6042000000000001,0.3958,509566173.5,546464800.0,463233402.0,506218630.5,-3347543.0,774972,421,-0.0001275,0.01,-0.010255,-0.0001275
1697473800,2023-10-16 20:30:00,28110.891666666666,28156.0,28054.3,28086.13333333333,Sell,37815670.7158,17296008.6446,20519662.071200002,-3223653.4266000018,10190,4321,5869,1.6654565843621398,0.60425,0.39575000000000005,506216180.5,549563200.0,466302061.0,511164292.0,4948111.5,432717,0,-0.0001275,0.01,-0.010255,-0.0001275
1697475600,2023-10-16 21:00:00,28092.433333333334,28264.0,28055.3,28153.00833333333,Buy,76138660.8973,37389300.4528,38749360.44450001,-1360059.9917000085,17999,9025,8974,1.660868316526034,0.60385,0.39615,511097992.0,548972200.0,473335404.0,513185895.5,2087903.5,16601,400,-0.0001275,0.01,-0.010255,-0.0001275
1697477400,2023-10-16 21:30:00,28152.108333333334,28254.0,28100.0,28235.316666666666,Buy,52430793.6637,29334899.985799998,23095893.6779,6239006.307899997,11875,6064,5811,1.6556449393128987,0.6033,0.39670000000000005,513178095.5,548320100.0,475882464.0,511286134.0,-1891961.5,3391686,6104,-0.0001275,0.01,-0.010255,-0.0001275
1697479200,2023-10-16 22:00:00,28237.416666666668,28458.0,28220.0,28371.408333333336,Buy,162313697.4023,86904133.1927,75409564.2096,11494568.983099997,32427,16443,15984,1.639726895418122,0.6016,0.39840000000000003,511247884.0,546622700.0,475872358.0,518237117.0,6989233.0,1200,144,-0.0001275,0.01,-0.010255,-0.0001275
1697481000,2023-10-16 22:30:00,28368.808333333334,28614.1,28287.5,28563.533333333336,Buy,173361931.1273,94732139.708,78629791.41929999,16102348.288700014,30880,16264,14616,1.6233049086054632,0.5999500000000001,0.40004999999999996,518293167.0,546734800.0,488355816.0,517819423.0,-473744.0,13899,518,-0.0001275,0.01,-0.010255,-0.0001275
1697482800,2023-10-16 23:00:00,28562.308333333334,28974.5,28508.5,28599.566666666666,Buy,252898686.2437,130488718.0385,122409968.2052,8078749.8332999945,43334,21720,21614,1.635449229188078,0.6012500000000001,0.39875,517804823.0,546499100.0,488971818.0,517811998.5,7175.5,0,27500,-0.0001275,0.01,-0.010255,-0.0001275
1697484600,2023-10-16 23:30:00,28593.649999999998,28620.0,28379.9,28464.975000000002,Sell,149148557.3047,66769352.9044,82379204.4003,-15609851.495899998,28335,13122,15213,1.644504908605463,0.6020000000000001,0.39799999999999996,517817748.5,545852200.0,489862645.0,517718733.5,-99015.0,0,4060,-0.0001275,0.01,-0.010255,-0.0001275
1697486400,2023-10-17 00:00:00,28468.833333333332,28671.0,28415.3,28602.433333333334,Buy,91100058.8029,55937438.2789,35162620.524000004,20774817.754899994,19048,10773,8275,1.6390410256410255,0.6013000000000001,0.3987,517706783.5,546236100.0,489145260.0,518120189.5,413406.0,2712,0,-0.0001275,0.01,-0.010255,-0.0001275
